1,ХљРђ27ФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Сж3Х\Б@ФNЧоБi5НќКKЛЙБjБCТjПЧХ РlМыБCСНФNЧоЛyВ—ХљЛѕФNЧо(КOНСРlБ\УЅМfБjБ|ТђТЪБEОЪУЩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) УъЦ{РlБEКOНСРlВћХ БuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) Ц≥НСР–ЛyВ—НСЦЉБuХsПЏБvВрК№ВёБB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,СНРФБiТjПЧХ Бj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ПЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ОsЛжТђСЇГRБ[Гh,ТђТЪОЪГRБ[Гh,ТnИжОѓХ Ф‘НЖ,ФйУљПИЧЭ,ФйУљРжПоХс,НЗОZТnИж,УsУєХ{МІЦЉ,ОsЛжТђСЇЦЉ,СеОЪБEТђЦЉ,ОЪБEТЪЦЏЦЉ,СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2),СНРФБiФNЧоБj 1),0Б`4Нќ,5Б`9Нќ,10Б`14Нќ,15Б`19Нќ,20Б`24Нќ,25Б`29Нќ,30Б`34Нќ,35Б`39Нќ,40Б`44Нќ,45Б`49Нќ,50Б`54Нќ,55Б`59Нќ,60Б`64Нќ,65Б`69Нќ,70Б`74Нќ,75Б`79Нќ,80Б`84Нќ,85Б`89Нќ,90Б`94Нќ,95Б`99Нќ,100НќИ»Пг,ФNЧоБuХsПЏБv,СНФNЧо,ХљЛѕФNЧо,БiНƒМfБj15НќЦҐЦЮ,БiНƒМfБj15Б`64Нќ,БiНƒМfБj65НќИ»Пг,БiНƒМfБj75НќИ»Пг,БiНƒМfБj85НќИ»Пг,БiНƒМfБjКOНСРl 2)
2031,"44211","0880","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪРЉНВЙ∆","",142,2,4,3,6,6,6,2,7,7,3,16,6,7,16,16,16,15,3,1,-,-,-,7890,56.0633802817,9,66,67,35,4,-,64,-,4,1,4,4,3,2,5,2,3,5,4,1,6,7,4,8,-,1,-,-,-,3268,51.5625000000,5,33,26,13,1,-,78,2,-,2,2,2,3,-,2,5,-,11,2,6,10,9,12,7,3,-,-,-,-,4622,59.7564102564,4,33,41,22,3,-
2032,"44211","0890","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЙЇНВЙ∆","",658,13,17,18,23,12,23,23,34,31,28,40,51,77,74,65,48,40,27,10,4,-,-,36289,55.6504559271,48,342,268,129,41,-,309,4,6,11,10,7,13,14,18,16,13,21,25,36,33,25,23,19,9,4,2,-,-,16680,54.4805825243,21,173,115,57,15,-,349,9,11,7,13,5,10,9,16,15,15,19,26,41,41,40,25,21,18,6,2,-,-,19609,56.6862464183,27,169,153,72,26,-
2033,"44211","0900","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪХlНВЙ∆","",279,9,7,19,17,6,7,14,8,22,20,17,17,18,26,26,21,20,4,-,1,-,-,13838,50.0985663082,35,146,98,46,5,-,139,4,6,10,12,2,6,6,1,12,9,8,12,5,13,14,7,9,3,-,-,-,-,6579,47.8309352518,20,73,46,19,3,-,140,5,1,9,5,4,1,8,7,10,11,9,5,13,13,12,14,11,1,-,1,-,-,7259,52.3500000000,15,73,52,27,2,-
2034,"44211","0910","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪФцЙiИд","",368,3,14,11,19,14,11,8,23,18,23,26,29,28,31,31,31,33,10,5,-,-,-,19551,53.6277173913,28,199,141,79,15,2,160,2,6,6,10,6,1,6,8,8,10,11,15,13,15,9,14,13,5,2,-,-,-,8375,52.8437500000,14,88,58,34,7,-,208,1,8,5,9,8,10,2,15,10,13,15,14,15,16,22,17,20,5,3,-,-,-,11176,54.2307692308,14,111,83,45,8,2
2035,"44211","0920","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЙ≥ПЧРVУc","",37,1,1,3,3,-,-,-,2,4,1,-,-,4,5,4,4,-,2,2,1,-,-,2020,55.0945945946,5,14,18,9,5,-,16,1,-,3,1,-,-,-,1,2,1,-,-,1,2,3,1,-,-,-,-,-,-,719,45.4375000000,4,6,6,1,-,-,21,-,1,-,2,-,-,-,1,2,-,-,-,3,3,1,3,-,2,2,1,-,-,1301,62.4523809524,1,8,12,8,5,-
2036,"44211","0930","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЙЇЙ≥ПЧ","",427,6,20,18,24,8,10,13,20,25,28,21,28,37,47,39,24,32,22,3,2,-,-,22539,53.2845433255,44,214,169,83,27,-,194,1,13,10,13,5,6,6,9,10,14,12,10,18,17,18,11,14,7,-,-,-,-,9655,50.2680412371,24,103,67,32,7,-,233,5,7,8,11,3,4,7,11,15,14,9,18,19,30,21,13,18,15,3,2,-,-,12884,55.7961373391,20,111,102,51,20,-
2037,"44211","0940","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪПгЙ≥ПЧ","",255,7,7,19,18,13,9,8,15,11,19,26,17,18,16,14,16,12,9,1,-,-,-,11907,47.1941176471,33,154,68,38,10,-,122,3,3,12,6,9,5,3,8,4,7,13,10,8,8,7,10,3,3,-,-,-,-,5545,45.9508196721,18,73,31,16,3,-,133,4,4,7,12,4,4,5,7,7,12,13,7,10,8,7,6,9,6,1,-,-,-,6362,48.3345864662,15,81,37,22,7,-
2038,"44211","0950","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪНrЦЎ","",200,11,3,8,4,9,15,11,10,14,5,14,16,21,18,13,9,8,7,3,-,-,1,9676,49.1231155779,22,119,58,27,10,-,102,7,2,5,2,7,10,6,7,7,1,6,7,7,11,6,5,2,2,1,-,-,1,4456,44.6188118812,14,60,27,10,3,-,98,4,1,3,2,2,5,5,3,7,4,8,9,14,7,7,4,6,5,2,-,-,-,5220,53.7653061224,8,59,31,17,7,-
2039,"44211","0960","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪРXОR","",791,35,47,30,43,27,37,38,67,62,58,56,54,59,45,40,39,29,19,6,-,-,-,35191,44.9892541087,112,501,178,93,25,8,387,16,31,12,22,15,16,14,31,37,32,31,21,31,20,21,15,17,3,2,-,-,-,16764,43.8178294574,59,250,78,37,5,1,404,19,16,18,21,12,21,24,36,25,26,25,33,28,25,19,24,12,16,4,-,-,-,18427,46.1113861386,53,251,100,56,20,7
2040,"44211","0970","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЙОУn","",414,4,9,18,26,15,18,13,35,33,34,28,26,32,38,28,23,24,8,2,-,-,-,20325,49.5942028986,31,260,123,57,10,1,239,3,5,14,20,9,14,8,19,24,25,13,14,16,19,13,9,10,3,1,-,-,-,10800,45.6882845188,22,162,55,23,4,1,175,1,4,4,6,6,4,5,16,9,9,15,12,16,19,15,14,14,5,1,-,-,-,9525,54.9285714286,9,98,68,34,6,-
2041,"44211","0980","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪПгНВ","",406,12,14,16,17,19,12,19,22,20,21,31,18,41,33,22,23,29,20,10,4,-,3,20703,51.8722084367,42,220,141,86,34,14,182,7,8,3,5,6,5,6,12,8,10,18,9,24,18,10,12,10,5,3,2,-,1,9388,52.3674033149,18,103,60,32,10,-,224,5,6,13,12,13,7,13,10,12,11,13,9,17,15,12,11,19,15,7,2,-,2,11315,51.4684684685,24,117,81,54,24,14
2042,"44211","0990","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЙЇНВ","",431,27,13,18,15,11,22,19,35,17,26,25,21,42,35,24,27,33,14,6,1,-,-,21093,49.4396751740,58,233,140,81,21,4,195,15,8,7,7,4,8,9,19,8,12,12,11,19,19,12,11,9,4,1,-,-,-,9061,46.9666666667,30,109,56,25,5,1,236,12,5,11,8,7,14,10,16,9,14,13,10,23,16,12,16,24,10,5,1,-,-,12032,51.4830508475,28,124,84,56,16,3
2043,"44211","1000","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪПгОЮО}","",387,11,13,15,15,15,17,14,19,18,27,29,18,33,48,25,25,20,17,6,2,-,-,19854,51.8023255814,39,205,143,70,25,1,196,6,5,7,10,10,12,11,11,8,17,18,7,14,23,11,15,4,5,1,1,-,-,9350,48.2040816327,18,118,60,26,7,1,191,5,8,8,5,5,5,3,8,10,10,11,11,19,25,14,10,16,12,5,1,-,-,10504,55.4947643979,21,87,83,44,18,-
2044,"44211","1010","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЙЇОЮО}","",316,19,13,13,11,17,17,19,16,18,9,10,12,19,17,21,10,12,38,20,5,-,-,16080,51.3860759494,45,148,123,85,63,-,127,10,8,9,4,4,10,10,5,7,8,4,7,7,9,12,2,5,2,3,1,-,-,5387,42.9173228346,27,66,34,13,6,-,189,9,5,4,7,13,7,9,11,11,1,6,5,12,8,9,8,7,36,17,4,-,-,10693,57.0767195767,18,82,89,72,57,-
2045,"44211","1020","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪОlУъОs","",5084,266,272,285,240,187,250,310,367,389,300,298,306,362,396,273,200,153,123,58,21,2,26,222649,44.5191775405,823,3009,1226,557,204,55,2390,138,151,155,124,93,128,146,180,189,145,131,131,172,179,124,76,61,33,14,3,-,17,98064,41.8249051833,444,1439,490,187,50,20,2694,128,121,130,116,94,122,164,187,200,155,167,175,190,217,149,124,92,90,44,18,2,9,124585,46.9003724395,379,1570,736,370,154,35
2046,"44211","1030","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪРќУc","",528,41,15,20,23,32,41,35,47,24,42,33,32,30,22,30,23,20,12,-,1,-,5,22056,42.6720841300,76,339,108,56,13,3,277,26,9,13,15,16,22,17,25,15,24,13,18,15,8,12,11,7,7,-,-,-,4,10764,39.9285714286,48,180,45,25,7,2,251,15,6,7,8,16,19,18,22,9,18,20,14,15,14,18,12,13,5,-,1,-,1,11292,45.6680000000,28,159,63,31,6,1
2047,"44211","1040","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪКЛМі","",1076,78,65,54,58,37,79,58,63,82,62,76,69,70,74,39,31,18,35,22,1,1,4,44734,42.2294776119,197,654,221,108,59,5,494,41,26,28,28,16,40,28,30,42,26,32,28,36,35,18,14,9,7,6,-,-,4,19574,40.4469387755,95,306,89,36,13,3,582,37,39,26,30,21,39,30,33,40,36,44,41,34,39,21,17,9,28,16,1,1,-,25160,43.7302405498,102,348,132,72,46,2
2048,"44211","1050","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪПйИд","",1510,81,67,83,94,56,98,121,93,111,81,87,94,111,96,88,46,56,34,6,-,-,7,64027,43.0994677312,231,946,326,142,40,3,714,37,32,36,52,27,44,62,51,50,44,40,46,48,49,34,25,19,12,3,-,-,3,29582,42.1061884669,105,464,142,59,15,1,796,44,35,47,42,29,54,59,42,61,37,47,48,63,47,54,21,37,22,3,-,-,4,34445,43.9911616162,126,482,184,83,25,2
2049,"44211","1060","2","","","","СеХ™МІ","ЙFН≤Оs","СеОЪЛgПЉ","",622,45,41,22,19,24,45,65,53,38,24,21,48,62,42,28,11,11,10,5,2,-,6,25270,41.5227272727,108,399,109,39,17,1,312,27,17,10,9,14,23,30,34,23,12,9,20,33,19,14,5,4,2,2,-,-,5,12162,40.1156351792,54,207,46,13,4,-,310,18,24,12,10,10,22,35,19,15,12,12,28,29,23,14,6,7,8,3,2,-,1,13108,42.9207119741,54,192,63,26,13,1
2050,"44211","1070","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЙЇЦ—","",585,14,23,18,19,14,21,26,23,21,41,33,58,52,63,38,47,38,25,7,3,-,1,31105,53.7619863014,55,308,221,120,35,8,278,8,13,11,10,6,11,13,12,8,20,14,37,20,33,17,20,15,8,1,-,-,1,14046,51.2075812274,32,151,94,44,9,3,307,6,10,7,9,8,10,13,11,13,21,19,21,32,30,21,27,23,17,6,3,-,-,17059,56.0667752443,23,157,127,76,26,5
2051,"44211","1080","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђФ—Уc","",80,3,4,1,6,3,1,1,3,6,5,9,4,6,7,5,6,9,1,-,-,-,-,4066,51.3250000000,8,44,28,16,1,-,37,1,2,1,4,-,-,-,1,4,2,3,2,3,4,3,3,3,1,-,-,-,-,1906,52.0135135135,4,19,14,7,1,-,43,2,2,-,2,3,1,1,2,2,3,6,2,3,3,2,3,6,-,-,-,-,-,2160,50.7325581395,4,25,14,9,-,-
2052,"44211","1090","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђМі","",12,-,-,-,-,-,1,-,-,1,-,1,-,2,2,-,4,1,-,-,-,-,-,776,65.1666666667,-,5,7,5,-,-,6,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,1,1,-,-,-,-,-,373,62.6666666667,-,3,3,2,-,-,6,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,3,-,-,-,-,-,-,403,67.6666666667,-,2,4,3,-,-
2053,"44211","1100","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЦЎП÷","",568,13,19,35,19,11,17,13,42,40,32,25,27,31,37,41,44,39,45,20,14,3,1,30965,55.1119929453,67,257,243,165,82,9,243,8,10,22,11,9,10,6,20,19,15,12,10,12,20,19,15,10,10,2,2,-,1,11318,47.2685950413,40,124,78,39,14,3,325,5,9,13,8,2,7,7,22,21,17,13,17,19,17,22,29,29,35,18,12,3,-,19647,60.9523076923,27,133,165,126,68,6
2054,"44211","1110","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђР№Х~Уc","",163,6,6,8,12,7,4,7,10,9,13,16,10,10,12,8,9,8,6,2,-,-,-,7620,47.2484662577,20,98,45,25,8,1,67,1,2,2,4,5,2,3,5,3,5,8,5,6,5,3,4,3,1,-,-,-,-,3160,47.6641791045,5,46,16,8,1,-,96,5,4,6,8,2,2,4,5,6,8,8,5,4,7,5,5,5,5,2,-,-,-,4460,46.9583333333,15,52,29,17,7,1
2055,"44211","1120","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђПгОs","",133,5,2,7,9,2,8,7,3,4,10,11,13,10,6,4,7,9,12,3,1,-,-,6803,51.6503759398,14,77,42,32,16,-,58,1,1,4,3,1,6,2,1,2,5,3,8,5,4,-,4,3,4,1,-,-,-,2889,50.3103448276,6,36,16,12,5,-,75,4,1,3,6,1,2,5,2,2,5,8,5,5,2,4,3,6,8,2,1,-,-,3914,52.6866666667,8,41,26,20,11,-
2056,"44211","1130","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђМ√Оs","",45,2,-,-,1,1,2,5,-,1,-,6,2,8,4,5,3,4,-,1,-,-,-,2485,55.7222222222,2,26,17,8,1,-,21,1,-,-,1,1,-,2,-,1,-,3,-,4,2,2,1,3,-,-,-,-,-,1146,55.0714285714,1,12,8,4,-,-,24,1,-,-,-,-,2,3,-,-,-,3,2,4,2,3,2,1,-,1,-,-,-,1339,56.2916666667,1,14,9,4,1,-
2057,"44211","1140","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђРVМі","",43,-,-,1,-,-,-,1,4,2,2,5,2,6,5,6,5,1,1,2,-,-,-,2631,61.6860465116,1,22,20,9,3,1,19,-,-,1,-,-,-,-,3,1,-,3,-,3,3,2,2,-,-,1,-,-,-,1105,58.6578947368,1,10,8,3,1,-,24,-,-,-,-,-,-,1,1,1,2,2,2,3,2,4,3,1,1,1,-,-,-,1526,64.0833333333,-,12,12,6,2,1
2058,"44211","1150","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђСС","",428,12,21,26,24,16,17,17,24,23,26,29,40,33,23,28,31,16,13,3,1,-,5,19895,47.5330969267,59,249,115,64,17,7,207,6,9,20,8,9,6,9,14,12,10,14,21,16,10,13,16,4,6,2,-,-,2,9384,46.2756097561,35,119,51,28,8,6,221,6,12,6,16,7,11,8,10,11,16,15,19,17,13,15,15,12,7,1,1,-,3,10511,48.7155963303,24,130,64,36,9,1
2059,"44211","1160","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђМЋХы","",17,-,-,-,1,1,-,-,-,-,1,1,2,6,1,1,2,1,-,-,-,-,-,995,59.0294117647,-,12,5,3,-,-,12,-,-,-,1,1,-,-,-,-,-,1,1,5,-,1,1,1,-,-,-,-,-,685,57.5833333333,-,9,3,2,-,-,5,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,-,-,-,-,-,-,310,62.5000000000,-,3,2,1,-,-
2060,"44211","1170","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђН»К_","",270,4,5,4,7,7,9,6,6,6,12,5,20,34,18,17,13,31,28,22,14,2,-,17345,64.7407407407,13,112,145,110,66,-,109,1,2,3,3,3,6,3,4,4,6,4,11,18,10,8,5,5,7,5,1,-,-,6187,57.2614678899,6,62,41,23,13,-,161,3,3,1,4,4,3,3,2,2,6,1,9,16,8,9,8,26,21,17,13,2,-,11158,69.8043478261,7,50,104,87,53,-
2061,"44211","1180","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђМF","",34,1,2,-,-,-,1,1,1,3,-,-,4,6,5,3,2,1,1,2,1,-,-,1986,58.9117647059,3,16,15,7,4,-,14,-,-,-,-,-,-,1,-,2,-,-,2,3,4,1,-,-,-,-,1,-,-,851,61.2857142857,-,8,6,1,1,-,20,1,2,-,-,-,1,-,1,1,-,-,2,3,1,2,2,1,1,2,-,-,-,1135,57.2500000000,3,8,9,6,3,-
2062,"44211","1190","2","НЗОZТnИжВ†Ви","","1200","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђН≤Уc","",176,7,11,11,3,1,5,6,8,14,6,2,5,15,14,11,13,15,16,11,2,-,-,9658,55.3750000000,29,65,82,57,29,3,88,3,7,6,-,1,3,3,6,7,5,1,2,9,8,5,7,7,5,2,1,-,-,4534,52.0227272727,16,37,35,22,8,3,88,4,4,5,3,-,2,3,2,7,1,1,3,6,6,6,6,8,11,9,1,-,-,5124,58.7272727273,13,28,47,35,21,-
2063,"44211","1200","2","ФйУљТnИж","1190","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђХљГPСq","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2064,"44211","1210","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЦ[ГPФ®","",50,-,-,2,1,-,-,1,-,2,3,2,3,4,8,5,6,6,5,2,-,-,-,3275,66.0000000000,2,16,32,19,7,-,24,-,-,2,1,-,-,1,-,1,1,1,2,1,5,2,1,3,1,2,-,-,-,1454,61.0833333333,2,8,14,7,3,-,26,-,-,-,-,-,-,-,-,1,2,1,1,3,3,3,5,3,4,-,-,-,-,1821,70.5384615385,-,8,18,12,4,-
2065,"44211","1220","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђОRС†","",106,2,3,6,5,1,2,2,6,3,4,9,3,10,16,5,9,11,7,1,1,-,-,5924,56.3867924528,11,45,50,29,9,-,48,1,2,1,4,-,-,2,2,1,1,6,2,4,10,1,5,2,4,-,-,-,-,2637,55.4375000000,4,22,22,11,4,-,58,1,1,5,1,1,2,-,4,2,3,3,1,6,6,4,4,9,3,1,1,-,-,3287,57.1724137931,7,23,28,18,5,-
2066,"44211","1230","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђУаРмЦм","",23,-,-,-,-,-,-,-,1,1,1,3,3,-,3,3,3,2,1,2,-,-,-,1535,67.2391304348,-,9,14,8,3,-,12,-,-,-,-,-,-,-,1,1,-,2,3,-,1,-,2,1,-,1,-,-,-,749,62.9166666667,-,7,5,4,1,-,11,-,-,-,-,-,-,-,-,-,1,1,-,-,2,3,1,1,1,1,-,-,-,786,71.9545454545,-,2,9,4,2,-
2067,"44211","1240","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђМ√Рм","",68,3,-,-,2,2,1,3,4,1,2,7,2,12,6,4,2,8,9,-,-,-,-,4009,59.4558823529,3,36,29,19,9,-,35,2,-,-,2,-,1,2,3,1,1,4,-,7,2,2,1,3,4,-,-,-,-,1935,55.7857142857,2,21,12,8,4,-,33,1,-,-,-,2,-,1,1,-,1,3,2,5,4,2,1,5,5,-,-,-,-,2074,63.3484848485,1,15,17,11,5,-
2068,"44211","1250","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђСеМ©Фц","",101,1,3,1,4,3,7,6,2,-,4,4,13,16,4,7,8,11,7,-,-,-,-,5658,56.5198019802,5,59,37,26,7,-,48,-,1,-,3,3,5,2,-,-,2,2,7,9,3,2,4,2,3,-,-,-,-,2559,53.8125000000,1,33,14,9,3,-,53,1,2,1,1,-,2,4,2,-,2,2,6,7,1,5,4,9,4,-,-,-,-,3099,58.9716981132,4,26,23,17,4,-
2069,"44211","1260","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђУГФц","",115,2,6,2,1,2,4,7,2,1,2,6,9,11,15,7,15,12,9,2,-,-,-,6820,59.8043478261,10,45,60,38,11,-,57,1,2,2,-,1,3,2,1,1,1,3,5,6,9,3,5,5,6,1,-,-,-,3393,60.0263157895,5,23,29,17,7,-,58,1,4,-,1,1,1,5,1,-,1,3,4,5,6,4,10,7,3,1,-,-,-,3427,59.5862068966,5,22,31,21,4,-
2070,"44211","1270","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЦоТ√","",33,-,-,1,1,-,-,-,2,1,1,3,-,2,6,4,4,5,2,-,1,-,-,2137,65.2575757576,1,10,22,12,3,-,14,-,-,-,-,-,-,-,1,1,-,2,-,-,3,2,2,2,1,-,-,-,-,926,66.6428571429,-,4,10,5,1,-,19,-,-,1,1,-,-,-,1,-,1,1,-,2,3,2,2,3,1,-,1,-,-,1211,64.2368421053,1,6,12,7,2,-
2071,"44211","1280","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђНщГPХљ","",38,-,-,2,-,-,-,-,1,2,1,1,5,2,4,4,4,8,4,-,-,-,-,2529,67.0526315789,2,12,24,16,4,-,19,-,-,1,-,-,-,-,1,1,1,1,3,1,2,3,-,2,3,-,-,-,-,1196,63.4473684211,1,8,10,5,3,-,19,-,-,1,-,-,-,-,-,1,-,-,2,1,2,1,4,6,1,-,-,-,-,1333,70.6578947368,1,4,14,11,1,-
2072,"44211","1290","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђМыГmТЎ","",60,1,1,1,2,4,3,2,3,3,-,5,4,5,7,7,-,3,7,2,-,-,-,3337,56.1166666667,3,31,26,12,9,-,26,-,1,-,1,2,2,1,1,1,-,2,1,3,3,5,-,1,1,1,-,-,-,1400,54.3461538462,1,14,11,3,2,-,34,1,-,1,1,2,1,1,2,2,-,3,3,2,4,2,-,2,6,1,-,-,-,1937,57.4705882353,2,17,15,9,7,-
2073,"44211","1300","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЬAТJ","",52,2,1,4,3,-,-,2,2,4,1,1,4,5,6,3,4,4,3,2,1,-,-,2844,55.1923076923,7,22,23,14,6,-,22,1,-,1,2,-,-,2,1,3,-,1,2,1,4,-,3,1,-,-,-,-,-,1086,49.8636363636,2,12,8,4,-,-,30,1,1,3,1,-,-,-,1,1,1,-,2,4,2,3,1,3,3,2,1,-,-,1758,59.1000000000,5,10,15,10,6,-
2074,"44211","1310","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђКОФц","",89,2,4,2,3,-,2,4,6,3,7,4,8,9,6,6,6,6,9,2,-,-,-,4933,55.9269662921,8,46,35,23,11,-,45,-,2,1,1,-,2,2,3,1,5,2,5,4,4,3,3,2,3,2,-,-,-,2507,56.2111111111,3,25,17,10,5,-,44,2,2,1,2,-,-,2,3,2,2,2,3,5,2,3,3,4,6,-,-,-,-,2426,55.6363636364,5,21,18,13,6,-
2075,"44211","1320","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЦоНи","",54,-,1,1,3,1,2,3,-,-,4,1,7,9,3,3,6,4,5,1,-,-,-,3190,59.5740740741,2,30,22,16,6,-,26,-,1,-,2,-,1,2,-,-,2,1,2,5,2,1,3,1,3,-,-,-,-,1480,57.4230769231,1,15,10,7,3,-,28,-,-,1,1,1,1,1,-,-,2,-,5,4,1,2,3,3,2,1,-,-,-,1710,61.5714285714,1,15,12,9,3,-
2076,"44211","1330","2","","","","СеХ™МІ","ЙFН≤Оs","ИјРSЙ@ТђЛvИдУc","",18,-,-,-,2,-,-,-,1,-,1,2,2,4,-,3,1,1,1,-,-,-,-,1047,58.6666666667,-,12,6,3,1,-,9,-,-,-,1,-,-,-,1,-,1,1,1,2,-,1,1,-,-,-,-,-,-,489,54.8333333333,-,7,2,1,-,-,9,-,-,-,1,-,-,-,-,-,-,1,1,2,-,2,-,1,1,-,-,-,-,558,62.5000000000,-,5,4,2,1,-
